total_articles_count	testing_articles_count	feature_function	training_articles_count	total_token_count	DEF_DEF	DEF_INDEF	DEF_NA	INDEF_INDEF	INDEF_DEF	INDEF_NA	NA_NA	NA_DEF	NA_INDEF
100	10	ff_def_na	90	51388	94	88	95	37	53	51	2107	2106	1629
100	10	ff_def_token	90	51388	229	2	0	0	116	0	2378	195	2225
100	10	ff_next_def_token	90	51388	55	74	0	59	7	0	2671	0	0
100	10	ff_next_noun	90	51388	13	23	190	29	1	82	3810	0	0
100	10	ff_next_noun_with_seen	90	51388	13	0	314	11	2	138	5171	0	0
100	10	full	90	51388	357	6	0	15	130	0	2908	1326	1149
1000	100	ff_def_na	900	490024	324	2061	1	1175	39	0	2056	3733	38612
1000	100	ff_def_token	900	490024	2514	0	0	0	1198	0	3	0	43812
1000	100	ff_next_def_token	900	490024	2474	347	0	690	683	0	23151	2514	25697
1000	100	ff_next_noun	900	490024	837	1338	0	955	74	0	897	1252	37860
1000	100	ff_next_noun_with_seen	900	490024	2027	183	0	463	700	0	27942	8887	4078
1000	100	full	900	490024	2344	281	0	669	673	0	25503	10485	12347
2028	203	ff_def_na	1825	1027820	636	4165	0	2303	89	0	3	3203	86049
2028	203	ff_def_token	1825	1027820	688	4215	0	2375	109	0	0	0	92069
2028	203	ff_next_def_token	1825	1027820	3795	1793	0	2090	569	0	41028	3589	58612
2028	203	ff_next_noun	1825	1027820	2134	3189	0	2248	200	0	622	11998	82260
2028	203	ff_next_noun_with_seen	1825	1027820	3793	207	1087	650	750	1049	95187	0	0
2028	203	full	1825	1027820	5240	361	0	1036	1549	0	50058	30625	19472